"TOA5","CR1000XSeries_1","CR1000X","8302","CR1000X.Std.02.00","CPU:LineQuantum.CR1X","29888","Quantum"
"TIMESTAMP","RECORD","BattV_Min","PanelT","PPF1_Avg","PPF2_Avg","PPF3_Avg","PPF4_Avg","PPF5_Avg","PPF_above_Avg"
"TS","RN","","","","","","","",""
"","","Min","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-08-21 11:37:11",45,13.353,32.1384,1330.165,1315.868,147.801,152.9106,182.7875,1345.673
"2019-08-21 11:37:11.5",46,13.35289,32.14291,1370.005,1356.097,148.0851,153.2101,183.2492,1377.557
"2019-08-21 11:37:12",47,13.35302,32.14789,1369.083,1351.764,148.086,153.2124,183.4492,1368.235
"2019-08-21 11:37:12.5",48,13.35278,32.1532,1359.049,1341.037,146.8564,153.0775,183.6088,1360.854
"2019-08-21 11:37:13",49,13.35285,32.15732,1371.707,1355.69,146.4735,153.0047,183.973,1375.206
"2019-08-21 11:37:13.5",50,13.35292,32.16147,1380.633,1364.668,143.9359,152.9292,184.4816,1380.62
"2019-08-21 11:37:14",51,13.35287,32.16531,1389.643,1373.277,146.0423,152.7131,184.7006,1379.396
"2019-08-21 11:37:14.5",52,13.35296,32.16959,1364.515,1346.934,145.2435,152.5826,184.6603,1360.896
"2019-08-21 11:37:15",53,13.35281,32.17395,1346.964,1330.301,147.6999,152.5163,184.623,1361.519
"2019-08-21 11:37:15.5",54,13.35283,32.17807,1367.875,1353.047,148.1298,152.5119,184.7203,1389.009
"2019-08-21 11:37:16",55,13.35281,32.18225,1395.26,1378.095,148.2526,152.8286,184.5653,1393.45
"2019-08-21 11:37:16.5",56,13.35282,32.18665,1360.435,1339.232,148.0061,152.3882,183.9223,1334.743
"2019-08-21 11:37:17",57,13.35288,32.19116,1265.594,1241.374,147.1333,151.342,182.71,1180.413
"2019-08-21 11:37:17.5",58,13.35287,32.19641,1153.34,1136.967,145.4442,150.2805,181.9046,1135.001
"2019-08-21 11:37:18",59,13.35278,32.20084,1185.06,1175.018,145.4267,150.4491,182.5073,1204.797
