ID	Lodging	Grade	Area	Severity	Score	PLOTID
478	yes	L	70	1	23.33	19EF0404
479	yes	M	70	2	46.67	19EF0405
480	yes	L	80	1	26.67	19EF0406
481	yes	M	100	2	66.67	19EF0407
482	no					19EF0408
483	yes	H	90	3	90	19EF0409
484	yes	H	100	3	100	19EF0410
485	no					19EF0411
486	yes	M	70	2	46.67	19EF0412
487	yes	M	80	2	53.33	19EF0413
488	yes	M	100	2	66.67	19EF0414
489	no					19EF0415
490	yes	L	100	1	33.33	19EF0416
491	no					19EF0417
492	yes	M	100	2	66.67	19EF0418
493	yes	H	90	3	90	19EF0419
494	yes	M	80	2	53.33	19EF0420
495	no					19EF0421
496	no					19EF0422
497	no					19EF0423
498	no					19EF0424
499	no					19EF0425
500	no					19EF0426
501	no					19EF0427
502	yes	L	80	1	26.67	19EF0428
503	no					19EF0429
504	no					19EF0430
505	yes	M	90	2	60	19EF0431
506	no					19EF0432
507	no					19EF0433
508	no					19EF0434
509	no					19EF0435
510	no					19EF0436
511	yes	M	70	2	46.67	19EF0437
512	no					19EF0438
513	no					19EF0439
514	yes	M	90	2	60	19EF0440
515	no					
516	no					
517	no					
518	no					19EF0480
519	yes	M	90	2	60	19EF0479
520	no					19EF0478
521	no					19EF0477
522	yes	L	100	1	33.33	19EF0476
523	no					19EF0475
524	no					19EF0474
525	no					19EF0473
526	yes	L	100	1	33.33	19EF0472
527	no					19EF0471
528	yes	L	70	1	23.33	19EF0470
529	yes	H	80	3	80	19EF0469
530	yes	L	80	1	26.67	19EF0468
531	no					19EF0467
532	no					19EF0466
533	yes	M	80	2	53.33	19EF0465
534	no					19EF0464
535	no					19EF0463
536	no					19EF0462
537	yes	H	90	3	90	19EF0461
538	yes	H	100	3	100	19EF0460
539	yes	H	80	3	80	19EF0459
540	no					19EF0458
541	no					19EF0457
542	no					19EF0456
543	no					19EF0455
544	no					19EF0454
545	no					19EF0453
546	no					19EF0452
547	no					19EF0451
548	no					19EF0450
549	no					19EF0449
550	no					19EF0448
551	yes	L	90	1	30	19EF0447
552	yes	L	100	1	33.33	19EF0446
553	yes	H	90	3	90	19EF0445
554	yes	H	80	3	80	19EF0444
555	yes	H	100	3	100	19EF0443
