# These are copied from the output of the lidar height script,,,
# UTC-5,,,m
date,first_row,range,height
2019-06-25,53,20,0.2344588
2019-06-25,109,3,0.24280323
2019-06-25,45,7,0.15274753
2019-06-25,25,15,0.10873836
2019-06-25,25,8,0.20784911
2019-06-25,149,24,0.1612572
2019-06-25,113,26,0.1685834
2019-06-25,153,10,0.20744702
2019-06-25,45,15,0.11947232
2019-06-25,57,26,0.13103204
2019-06-25,113,11,0.12730694
2019-06-25,141,26,0.20755742
2019-06-25,109,14,0.15370855
2019-06-25,97,5,0.15493134
2019-06-25,37,4,0.18564039
2019-06-25,29,13,0.16170475
2019-06-25,61,15,0.18748206
2019-06-25,129,26,0.16723502
2019-06-25,97,13,0.14446839
2019-06-25,133,12,0.17028338
2019-06-25,109,15,0.13388663
2019-06-25,153,18,0.12708194
2019-06-25,89,13,0.12773511
2019-06-25,21,24,0.17912898
2019-06-25,13,25,0.24797816
2019-06-25,41,8,0.20466314
2019-06-25,41,22,0.18815972
2019-06-25,5,1,0.18021083
2019-06-25,45,23,0.19953226
2019-06-25,33,20,0.27791438
2019-06-25,17,1,0.17570854
2019-06-25,61,1,0.12378851
2019-06-25,153,5,0.21844687
2019-06-25,105,11,0.15367374
2019-06-25,101,8,0.12400622
2019-06-25,133,6,0.18150235
2019-06-25,113,17,0.11656478
2019-06-25,57,19,0.14301576
2019-06-25,77,7,0.116082
2019-06-25,41,26,0.13052794
2019-06-25,129,8,0.19741112
2019-06-25,141,22,0.62767759
2019-06-25,73,12,0.20001685
2019-06-25,97,10,0.16552641
2019-06-25,117,6,0.21329645
2019-06-25,25,18,0.20103116
2019-06-25,129,13,0.12736046
2019-06-25,133,14,0.14660657
2019-06-25,17,20,0.20595863
2019-06-25,137,11,0.17480985
2019-06-25,1,4,0.21847089
2019-06-25,141,10,0.15320165
2019-06-25,57,17,0.18609905
2019-06-25,97,18,0.1051178
2019-06-25,45,18,0.15595269
2019-06-25,117,25,0.1408404
2019-06-25,65,8,0.15551073
2019-06-25,61,3,0.16821752
2019-06-25,21,12,0.25183438
2019-06-25,93,22,0.16998191
2019-06-25,37,5,0.14827753
2019-06-25,133,19,0.16035275
2019-06-25,61,21,0.17389742
2019-06-25,41,12,0.22965935
2019-06-25,81,2,0.20306298
2019-06-25,1,18,0.18738333
2019-06-25,157,6,0.18363866
2019-06-25,21,9,0.18636573
2019-06-25,69,1,0.14202401
2019-06-25,129,5,0.14345652
2019-06-25,101,25,0.13031364
2019-06-25,109,18,0.13356593
2019-06-25,89,18,0.10528376
2019-06-25,113,20,0.14200123
2019-06-25,97,8,0.17097011
2019-06-25,13,9,0.51517837
2019-06-25,93,21,0.16984138
2019-06-25,45,14,0.14087846
2019-06-25,141,12,0.18709104
2019-06-25,153,24,0.15873393
2019-06-25,65,12,0.13705174
2019-06-25,61,17,0.1128562
2019-06-25,81,1,0.13653756
2019-06-25,93,4,0.19774506
2019-06-25,153,17,0.15369622
2019-06-25,113,3,0.14490204
2019-06-25,69,3,0.16797703
2019-06-25,21,6,0.26536666
2019-06-25,1,24,0.14947583
2019-06-25,33,2,0.15149317
2019-06-25,141,23,0.85174199
2019-06-25,77,8,0.17752693
2019-06-25,125,17,0.12789617
2019-06-25,157,22,0.16016749
2019-06-25,65,13,0.15720553
2019-06-25,1,12,0.19202743
2019-06-25,5,26,0.18506901
2019-06-25,137,22,0.16775872
2019-06-25,101,10,0.15911109
2019-06-25,41,14,0.16483683
2019-06-25,1,13,0.19391495
2019-06-25,157,21,0.16372001
2019-06-25,21,3,0.16354661
2019-06-25,145,7,0.20919289
2019-06-25,53,4,0.1377307
2019-06-25,109,23,0.17929649
2019-06-25,25,24,0.31999226
2019-06-25,113,6,0.15170816
2019-06-25,89,16,0.15068904
2019-06-25,73,13,0.1717648
2019-06-25,77,11,0.15716438
2019-06-25,69,11,0.17864786
2019-06-25,1,23,0.16921679
2019-06-25,49,17,0.17324799
2019-06-25,29,8,0.21559566
2019-06-25,149,10,0.1329149
2019-06-25,73,2,0.11931291
2019-06-25,25,20,0.22212367
2019-06-25,29,26,0.16146291
2019-06-25,81,9,0.16493844
2019-06-25,17,12,0.1572379
2019-06-25,41,25,0.12818158
2019-06-25,105,16,0.18971715
2019-06-25,25,19,0.18314315
2019-06-25,153,3,0.1842422
2019-06-25,145,24,0.00624227
2019-06-25,81,23,0.15477549
2019-06-25,77,23,0.1641485
2019-06-25,97,4,0.12496976
2019-06-25,29,5,0.21677761
2019-06-25,141,9,0.17576689
2019-06-25,73,18,0.09831568
2019-06-25,89,4,0.17535347
2019-06-25,113,14,0.16344137
2019-06-25,129,16,0.10356064
2019-06-25,125,3,0.21835103
2019-06-25,53,18,0.185139
2019-06-25,57,22,0.12135751
2019-06-25,69,22,0.15025959
2019-06-25,41,9,0.14192622
2019-06-25,97,23,0.16834062
2019-06-25,153,6,0.16567365
2019-06-25,5,6,0.16823092
2019-06-25,41,17,0.20162156
2019-06-25,153,7,0.16229933
2019-06-25,157,11,0.25138472
2019-06-25,65,17,0.13539556
2019-06-25,105,9,0.20088788
2019-06-25,53,13,0.17344834
2019-06-25,109,19,0.15947564
2019-06-25,89,1,0.09861604
2019-06-25,105,13,1.58400823
2019-06-25,69,23,0.09993375
2019-06-25,41,11,0.16551305
2019-06-25,149,21,0.18662442
2019-06-25,65,7,0.25773034
2019-06-25,141,14,0.15910776
2019-06-25,61,16,0.32633676
2019-06-25,49,7,0.15744982
2019-06-25,129,15,0.16134482
2019-06-25,9,21,0.22730147
2019-06-25,157,20,0.12909192
2019-06-25,117,1,0.13757271
2019-06-25,13,13,0.20473609
2019-06-25,157,7,0.20321649
2019-06-25,89,15,0.14219472
2019-06-25,73,19,0.14980808
2019-06-25,53,11,0.14454519
2019-06-25,45,4,0.16444095
2019-06-25,17,26,0.23165727
2019-06-25,129,14,0.1834697
2019-06-25,113,16,0.11982491
2019-06-25,73,21,0.19654148
2019-06-25,157,17,0.16351313
2019-06-25,113,9,0.15247115
2019-06-25,65,10,0.17727195
2019-06-25,49,14,0.19479085
2019-06-25,109,1,0.1426174
2019-06-25,17,18,0.18970836
2019-06-25,97,1,0.11325345
2019-06-25,101,18,0.13429698
2019-06-25,37,26,0.20328991
2019-06-25,17,22,0.26163466
2019-06-25,85,13,0.14288802
2019-06-25,157,3,0.18695081
2019-06-25,45,20,0.19247958
2019-06-25,77,6,0.11828552
2019-06-25,145,15,0.1969081
2019-06-25,57,6,0.21641042
2019-06-25,1,16,0.19038574
2019-06-25,97,16,0.18554239
2019-06-25,13,8,0.1965584
2019-06-25,29,7,0.20996124
2019-06-25,69,5,0.15234773
2019-06-25,145,18,0.10783142
2019-06-25,37,12,0.1553355
2019-06-25,129,25,0.72811723
2019-06-25,93,5,0.15808416
2019-06-25,49,12,0.1783992
2019-06-25,97,7,0.17282435
2019-06-25,105,17,0.14861111
2019-06-25,49,1,0.16120036
2019-06-25,117,12,0.16154689
2019-06-25,109,11,0.80058366
2019-06-25,53,22,0.18932399
2019-06-25,5,25,0.19948341
2019-06-25,53,12,0.13239239
2019-06-25,77,3,0.17370714
2019-06-25,109,25,0.22438837
2019-06-25,1,7,0.19510657
2019-06-25,81,24,0.13125986
2019-06-25,77,24,0.16553874
2019-06-25,21,2,0.15894797
2019-06-25,73,24,0.12619054
2019-06-25,61,11,0.09972687
2019-06-25,5,19,0.16700712
2019-06-25,81,12,0.17262112
2019-06-25,129,4,0.17902168
