plot_id,site_id,date,moisture_mass_fraction_nir,moisture_mass_fraction_oven,above_ground_dry_yield,starch_mass_fraction,protein_mass_fraction,adf_mass_fraction,ndf_mass_fraction
19EF0370,EF,2019-09-17,0.745578149,,1.637214694,0.292421851,0.068,0.26498786,0.376783005
19EF0371,EF,2019-09-17,0.757039234,,2.479238165,0.279039234,0.070692823,0.273614354,0.390535885
19EF0372,EF,2019-09-17,0.7545,,2.16713386,0.279125,0.068125,0.271125,0.391625
19EF0373,EF,2019-09-16,0.749448092,,2.757321713,0.280517303,0.068965395,0.270482697,0.396586513
19EF0374,EF,2019-09-16,0.751473938,,2.514186582,0.276578185,0.067508687,0.270456564,0.396878378
19EF0375,EF,2019-09-16,0.731278013,,2.482333624,0.301810782,0.065,0.259366808,0.375278013
19EF0376,EF,2019-09-16,0.745758148,,1.447376143,0.288620926,0.067,0.267675815,0.38364837
19EF0377,EF,2019-09-16,0.744642012,,2.52844327,0.297073964,0.069,0.262378698,0.376115385
19EF0378,EF,2019-09-16,0.741518757,,2.354921792,0.289924973,0.069,0.27011254,0.39111254
19EF0379,EF,2019-09-16,0,,9.862503825,0,0,0,0
19EF0380,EF,2019-09-16,0.744,,2.222324822,0.286,0.065,0.274,0.399
19EF0381,EF,2019-09-13,0.760238727,,2.647935804,0.259403183,0.075,0.28235809,0.383156499
19EF0382,EF,2019-09-13,0.769480558,,2.257741952,0.255659023,0.077,0.285480558,0.384340977
19EF0383,EF,2019-09-13,0.768495481,,2.751160089,0.251531635,0.074495481,0.283972884,0.391963846
19EF0384,EF,2019-09-13,0.754369664,,2.640797695,0.264704814,0.074518619,0.281369664,0.38566485
19EF0385,EF,2019-09-12,0.774055378,,2.071731224,0.271151225,0.072,0.284531416,0.391745474
19EF0386,EF,2019-09-12,0.761485822,,2.464141698,0.289542533,0.070504726,0.275943289,0.377410208
19EF0387,EF,2019-09-12,0.770804074,,2.307445066,0.267594568,0.071,0.288601358,0.405601358
19EF0388,EF,2019-09-12,0.762127382,,2.315823312,0.2852999,0.070427282,0.276563691,0.387281846
19EF0389,EF,2019-09-12,0.776778894,,2.602587816,0.257442211,0.069,0.285778894,0.41109464
19EF0390,EF,2019-09-12,0.776881739,,2.505525155,0.260236522,0.071,0.289366957,0.406763478
19EF0391,EF,2019-09-12,0.756356219,,2.391041992,0.293643781,0.067643781,0.270356219,0.377356219
19EF0392,EF,2019-09-12,0.756153471,,1.954904496,0.280615104,0.069,0.275308161,0.396077954
19EF0393,EF,2019-09-12,0.76480859,,2.459669395,0.269914099,0.072404295,0.282277311,0.397937442
19EF0394,EF,2019-09-12,0.782374332,,2.384343301,0.250167558,0.073541889,0.293290553,0.420122995
19EF0395,EF,2019-09-10,0.785373202,,2.768551297,0.216985617,0.077,0.310133989,0.428148372
19EF0396,EF,2019-09-10,0.774666338,,2.228955159,0.235,0.075,0.298,0.410750247
19EF0397,EF,2019-09-10,0.775896054,,2.273687961,0.228207892,0.077379211,0.303792108,0.417688162
19EF0398,EF,2019-09-10,0.771997394,,2.562600734,0.239007819,0.074,0.291992181,0.403485665
19EF0399,EF,2019-09-09,0.786977049,,1.90332653,0.247174863,0.071659016,0.299636066,0.42608306
19EF0400,EF,2019-09-09,0.762507937,,1.753221175,0.257166667,0.069,0.282761905,0.423142857
19EF0401,EF,2019-09-09,0.761298246,,1.860048692,0.237,0.07,0.291701754,0.439754386
19EF0402,EF,2019-09-09,0.770311978,,2.415571308,0.269289694,0.069462396,0.285548747,0.40932312
19EF0403,EF,2019-09-10,0.774956627,,1.823938257,0.231608434,0.077,0.295956627,0.407391566
19EF0404,EF,2019-09-10,0.764455422,,1.909048736,0.240816867,0.076424096,0.294183133,0.401638554
19EF0405,EF,2019-09-10,0.777289335,,2.059476331,0.229991552,0.076,0.299289335,0.411438226
19EF0406,EF,2019-09-10,0.78075337,,2.699689537,0.214739889,0.075,0.30775337,0.433260111
19EF0407,EF,2019-09-12,0.765903553,,1.801303322,0.272918782,0.072,0.278629442,0.395807107
19EF0408,EF,2019-09-12,0.768954996,,2.957774662,0.26,0.070522502,0.286,0.410477498
19EF0409,EF,2019-09-12,0.770773309,,2.448771816,0.263453382,0.071,0.285216636,0.4078766
19EF0410,EF,2019-09-12,0.778986352,,1.739482024,0.264013648,0.072885856,0.291657568,0.403657568
19EF0411,EF,2019-09-12,0.789055928,,3.682990934,0.239832215,0.071527964,0.300167785,0.432807606
19EF0412,EF,2019-09-12,0.766653194,,1.747684502,0.273346806,0.069,0.282,0.400530639
19EF0413,EF,2019-09-12,0.77720796,,2.186409685,0.264544279,0.07139602,0.286663682,0.400515423
19EF0414,EF,2019-09-12,0.779663202,,2.069797783,0.261,0.073,0.292831601,0.408663202
19EF0415,EF,2019-09-12,0.770538462,,2.359413626,0.275589744,0.070435897,0.284358974,0.392102564
19EF0416,EF,2019-09-12,0.753631579,,2.742557252,0.292912281,0.067087719,0.27045614,0.379368421
19EF0417,EF,2019-09-13,0.758844995,,2.187649821,0.260310011,0.074584499,0.280598493,0.385689989
19EF0418,EF,2019-09-13,0.782908233,,2.47176805,0.23541681,0.078116638,0.292466552,0.404374786
19EF0419,EF,2019-09-13,0.763093274,,2.579396285,0.262660987,0.076,0.27975426,0.37675426
19EF0420,EF,2019-09-13,0.767507263,,2.03188085,0.252869274,0.076,0.286116201,0.384203352
19EF0421,EF,2019-09-16,0.739,,2.173979024,0.304,0.067,0.257,0.369
19EF0423,EF,2019-09-16,0.738609756,,2.092999079,0.297073171,0.068,0.261463415,0.378463415
19EF0424,EF,2019-09-16,0.751621381,,2.177992379,0.28518931,0.069,0.27318931,0.393162584
19EF0425,EF,2019-09-16,0.736372263,,2.116063667,0.297124088,0.066,0.262313869,0.380189781
19EF0426,EF,2019-09-16,0.753898374,,2.364696412,0.285,0.069,0.271449187,0.385347561
19EF0427,EF,2019-09-16,0.745537313,,2.164253228,0.283313433,0.067462687,0.26561194,0.390298507
19EF0428,EF,2019-09-16,0.751545,,2.426127117,0.27491,0.069455,0.273545,0.40127
19EF0429,EF,2019-09-17,0.737832988,,2.467862108,0.295610996,0.068,0.261778008,0.376167012
19EF0430,EF,2019-09-17,0.751446429,,3.126091472,0.273,0.069,0.273517857,0.402035714
19EF0431,EF,2019-09-17,0.724890819,,2.165239478,0.309445409,0.067445409,0.256,0.366772953
19EF0432,EF,2019-09-17,0.719783217,,2.347725094,0.305566434,0.066391608,0.256216783,0.374867133
19EF0433,EF,2019-09-17,0.731031185,,2.526636772,0.29504158,0.068010395,0.256474012,0.384906445
19EF0434,EF,2019-09-17,0.727598281,,2.476425886,0.293,0.067401719,0.257401719,0.385598281
19EF0435,EF,2019-09-17,0.728973105,,2.164868414,0.296513447,0.065486553,0.254459658,0.383973105
19EF0436,EF,2019-09-18,0.761096267,,2.374851862,0.277980354,0.071,0.277288802,0.392481336
19EF0437,EF,2019-09-18,0.760407178,,1.890388097,0.285345297,0.069469059,0.269716584,0.381433168
19EF0438,EF,2019-09-18,0.752104829,,2.055140735,0.282685512,0.069,0.271552415,0.390104829
19EF0439,EF,2019-09-18,0.747372283,,2.7234279,0.282116848,0.067,0.27051087,0.399394022
19EF0440,EF,2019-09-18,0.734643959,,2.015925076,0.298876607,0.068479434,0.258561697,0.373726221
19EF0441,EF,2019-09-18,0.748,,1.71513824,0.288,0.068,0.269,0.39
19EF0442,EF,2019-09-18,0.747523092,,2.455538861,0.291430723,0.068,0.266092369,0.386661647
19EF0443,EF,2019-09-18,0.754264728,,3.136237157,0.286452946,0.069094109,0.271264728,0.390529457
19EF0444,EF,2019-09-18,0.754319018,,2.346260366,0.283202454,0.069420245,0.276638037,0.395276074
19EF0445,EF,2019-09-18,0.754,,3.031518849,0.281350238,0.067,0.270649762,0.390350238
19EF0446,EF,2019-09-17,0.730444982,,2.176801067,0.298330109,0.067,0.253444982,0.380224909
19EF0447,EF,2019-09-17,0.737821918,,3.177122606,0.290356164,0.066589041,0.256232877,0.385287671
19EF0448,EF,2019-09-17,0.748585698,,2.162876383,0.278580023,0.07,0.265209989,0.393961407
19EF0449,EF,2019-09-17,0.767854799,,2.763307569,0.266242002,0.0704758,0.275806399,0.405136998
19EF0450,EF,2019-09-17,0.737,,2.082775276,0.305737361,0.066547472,0.257357583,0.367620222
19EF0451,EF,2019-09-17,0.730672165,,2.55104891,0.306354639,0.066575258,0.256672165,0.371919588
19EF0452,EF,2019-09-17,0.74,,2.521090334,0.288833837,0.067425982,0.264296073,0.387740181
19EF0453,EF,2019-09-16,0.739974684,,2.407075884,0.290541139,0.068,0.263477848,0.384458861
19EF0454,EF,2019-09-16,0.736520165,,2.487938651,0.299959669,0.066493278,0.257026887,0.376080662
19EF0455,EF,2019-09-16,0.761572692,,2.370115907,0.264418468,0.069,0.282436149,0.409590373
19EF0456,EF,2019-09-16,0.743310897,,2.346113893,0.292630342,0.065,0.268184829,0.389806624
19EF0457,EF,2019-09-16,0.732,,1.949651004,0.300995973,0.065502013,0.260995973,0.381991946
19EF0458,EF,2019-09-16,0.743025471,,2.265915136,0.288949059,0.067,0.267512735,0.390974529
19EF0459,EF,2019-09-16,0.732,,2.036011384,0.32,0.07,0.243,0.346
