# These are copied from the output of the lidar_lai repository.,,,
# UTC-5,,,dimensionless
date,first_row,range,lai
2018-06-14,41,8,0.110125
2018-06-14,49,30,0.106599
2018-06-14,41,22,0.082644
2018-06-14,5,1,0.082644
2018-06-14,45,23,0.05175
2018-06-14,33,20,0.030293
2018-06-14,105,11,0.011453
2018-06-14,101,8,0.03339
2018-06-14,133,6,0.018694
2018-06-14,113,17,0.017193
2018-06-14,57,19,0.065706
2018-06-14,77,7,0.016761
2018-06-14,129,8,0.006708
2018-06-14,141,22,0.015077
2018-06-14,73,12,0.08051
2018-06-14,97,10,0.088296
2018-06-14,117,6,0.010499
2018-06-14,25,18,0.037105
2018-06-14,13,31,0.05279
2018-06-14,129,13,0.087585
2018-06-14,133,14,0.010091
2018-06-14,125,28,0.028566
2018-06-14,17,20,0.014679
2018-06-14,137,11,0.031198
2018-06-14,1,4,0.106901
2018-06-14,141,10,0.010821
2018-06-14,57,17,0.035481
2018-06-14,97,18,0.00968
2018-06-14,45,18,0.056039
2018-06-14,117,25,0.009535
2018-06-14,65,8,0.076326
2018-06-14,61,3,0.050772
2018-06-14,21,12,0.033871
2018-06-14,93,22,0.010371
2018-06-14,37,5,0.104053
2018-06-14,133,19,0.01933
2018-06-14,61,21,0.021865
2018-06-14,41,12,0.027681
2018-06-14,81,2,0.094128
2018-06-14,1,18,0.006037
2018-06-14,21,9,0.008688
2018-06-14,129,5,0.036204
2018-06-14,101,25,0.019367
2018-06-14,109,18,0.010592
2018-06-14,89,18,0.009631
2018-06-14,37,28,0.115189
2018-06-14,113,20,0.007619
2018-06-14,97,8,0.048953
2018-06-14,125,30,0.019513
2018-06-14,45,30,0.038033
2018-06-14,17,29,0.06215
2018-06-14,13,9,0.029676
2018-06-14,93,21,0.004231
2018-06-14,45,14,0.143285
2018-06-14,141,12,0.021172
2018-06-14,65,12,0.083093
2018-06-14,61,17,0.116474
2018-06-14,93,4,0.054806
2018-06-14,53,30,0.021724
2018-06-14,113,3,0.013646
2018-06-14,69,3,0.015957
2018-06-14,21,6,0.023314
2018-06-14,1,24,0.079218
2018-06-14,33,2,0.020471
2018-06-14,141,23,0.059436
2018-06-14,77,8,0.015523
2018-06-14,125,17,0.03487
2018-06-14,13,27,0.028598
2018-06-14,53,28,0.027781
2018-06-14,65,13,0.012302
2018-06-14,1,12,0.020845
2018-06-14,101,29,0.029207
2018-06-14,5,26,0.014122
2018-06-14,137,22,0.020361
2018-06-14,101,10,0.07502
2018-06-14,41,14,0.085709
2018-06-14,1,13,0.009817
2018-06-14,0,26,0.00552
2018-06-14,65,29,0.016516
2018-06-14,21,3,0.073383
2018-06-14,53,4,0.016206
2018-06-14,109,23,0.039781
2018-06-14,25,24,0.043466
2018-06-14,113,6,0.01426
2018-06-14,89,16,0.015408
2018-06-14,0,20,0.007516
2018-06-14,73,13,0.102196
2018-06-14,77,11,0.062895
2018-06-14,69,11,0.01604
2018-06-14,1,23,0.033267
2018-06-14,49,17,0.064031
2018-06-14,29,8,0.006597
2018-06-14,73,2,0.08783
2018-06-14,25,20,0.010737
2018-06-14,81,9,0.041212
2018-06-14,17,12,0.012107
2018-06-14,41,25,0.025262
2018-06-14,105,16,0.014689
2018-06-14,25,19,0.032687
2018-06-14,0,12,0.005891
2018-06-14,81,23,0.005659
2018-06-14,105,30,0.105877
2018-06-14,37,30,0.150031
2018-06-14,77,23,0.007023
2018-06-14,97,4,0.025338
2018-06-14,29,5,0.028939
2018-06-14,141,9,0.015196
2018-06-14,73,18,0.031135
2018-06-14,89,4,0.072153
2018-06-14,113,14,0.025054
2018-06-14,129,16,0.036185
2018-06-14,125,3,0.100743
2018-06-14,53,18,0.024804
2018-06-14,57,22,0.022769
2018-06-14,69,22,0.041567
2018-06-14,41,9,0.028237
2018-06-14,97,23,0.004757
2018-06-14,5,6,0.141934
2018-06-14,41,17,0.066995
2018-06-14,0,24,0.01111
2018-06-14,29,28,0.020238
2018-06-14,65,17,0.039977
2018-06-14,105,9,0.012109
2018-06-14,53,13,0.017761
2018-06-14,109,19,0.008468
2018-06-14,21,28,0.007487
2018-06-14,69,30,0.039982
2018-06-14,21,29,0.01389
2018-06-14,105,13,0.063648
2018-06-14,69,23,0.017237
2018-06-14,41,11,0.029124
2018-06-14,65,7,0.026521
2018-06-14,141,14,0.014222
2018-06-14,61,16,0.050659
2018-06-14,49,7,0.027427
2018-06-14,129,15,0.065189
2018-06-14,9,21,0.025502
2018-06-14,13,13,0.009254
2018-06-14,125,29,0.020623
2018-06-14,89,15,0.00765
2018-06-14,73,19,0.030392
2018-06-14,53,11,0.009627
2018-06-14,45,4,0.031855
2018-06-14,129,14,0.086363
2018-06-14,113,16,0.007774
2018-06-14,73,21,0.018064
2018-06-14,113,9,0.029446
2018-06-14,77,28,0.029094
2018-06-14,65,10,0.026375
2018-06-14,49,14,0.117508
2018-06-14,17,18,0.039646
2018-06-14,101,18,0.02754
2018-06-14,17,22,0.020711
2018-06-14,69,29,0.022063
2018-06-14,85,13,0.047904
2018-06-14,33,28,0.053159
2018-06-14,49,28,0.042392
2018-06-14,45,20,0.037312
2018-06-14,77,6,0.010774
2018-06-14,57,30,0.121442
2018-06-14,57,6,0.042775
2018-06-14,65,30,0.08534
2018-06-14,1,16,0.052173
2018-06-14,97,16,0.024886
2018-06-14,13,8,0.033975
2018-06-14,29,7,0.021371
2018-06-14,69,5,0.095333
2018-06-14,37,12,0.085617
2018-06-14,129,25,0.010774
2018-06-14,93,5,0.18526
2018-06-14,49,12,0.061852
2018-06-14,97,7,0.024756
2018-06-14,105,17,0.039917
2018-06-14,117,12,0.012072
2018-06-14,109,11,0.012698
2018-06-14,53,22,0.079914
