date,replicate,species,speed,plot_id,height
8/23/2019,3,zm,s,4,2.34188342
8/23/2019,3,zm,s,5,2.39294729
8/23/2019,4,bc,s,1,1.03067308
8/23/2019,4,bc,s,2,1.37511007
8/23/2019,4,bc,s,3,1.55567512
8/23/2019,4,bc,s,4,1.61481737
8/23/2019,4,bc,s,5,1.65503176
8/23/2019,4,zm,s,1,1.16200446
8/23/2019,4,zm,s,2,2.31251707
8/23/2019,4,zm,s,3,2.33639654
8/23/2019,4,zm,s,4,2.35137021
8/23/2019,4,zm,s,5,2.40559351
8/23/2019,5,bc,s,1,0.93535297
8/23/2019,5,bc,s,2,1.46979908
8/23/2019,5,bc,s,3,1.81254799
8/23/2019,5,bc,s,4,1.61624091
8/23/2019,5,bc,s,5,1.6651001
8/23/2019,5,zm,s,1,1.20277444
8/23/2019,5,zm,s,2,2.38027306
8/23/2019,5,zm,s,3,2.33264779
8/23/2019,5,zm,s,4,2.35753049
8/23/2019,5,zm,s,5,2.43874372
