"TOA5","CR1000XSeries_1","CR1000X","8302","CR1000X.Std.02.00","CPU:LineQuantum.CR1X","16901","Quantum"
"TIMESTAMP","RECORD","BattV_Min","PanelT","PPF1_Avg","PPF2_Avg","PPF3_Avg","PPF4_Avg","PPF5_Avg","PPF_above_Avg"
"TS","RN","","","","","","","",""
"","","Min","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-08-20 13:29:45.5",45,13.32968,28.88544,1170.273,1705.245,1706.9,1798.758,1000.36,1820.491
"2020-08-20 13:29:46",46,13.32954,28.88565,1174.093,1706.246,1711.137,1801.595,1000.554,1820.252
"2020-08-20 13:29:46.5",47,13.32955,28.88589,1175.994,1711.379,1712.587,1806.452,1003.978,1830.915
"2020-08-20 13:29:47",48,13.32958,28.88605,1176.12,1719.861,1724.422,1818.17,1009.37,1840.338
"2020-08-20 13:29:47.5",49,13.32966,28.88647,1192.128,1741.189,1747.396,1845.557,1022.796,1868.512
"2020-08-20 13:29:48",50,13.3296,28.88678,1217.177,1767.542,1773.33,1870.448,1035.351,1900.342
"2020-08-20 13:29:48.5",51,13.32958,28.88693,1238.099,1786.365,1793.165,1889.514,1043.651,1909.478
"2020-08-20 13:29:49",52,13.32951,28.88712,1169.756,1784.434,1791.035,1885.326,1040.4,1906.748
"2020-08-20 13:29:49.5",53,13.32948,28.88745,1220.84,1774.585,1778.205,1872.44,1032.53,1892.937
"2020-08-20 13:29:50",54,13.32921,28.88773,1197.78,1760.423,1765.854,1859.971,1029.945,1881.11
"2020-08-20 13:29:50.5",55,13.32913,28.88791,1214.912,1750.108,1755.734,1850.185,1023.867,1869.263
"2020-08-20 13:29:51",56,13.32917,28.88828,1208.953,1739.695,1744.987,1834.952,1017.053,1855.032
"2020-08-20 13:29:51.5",57,13.32935,28.88867,1183.942,1719.98,1723.801,1814.436,1008.271,1840.829
"2020-08-20 13:29:52",58,13.32926,28.88889,1170.701,1696.346,1702.467,1790.186,995.8968,1812.484
"2020-08-20 13:29:52.5",59,13.32931,28.88913,1240.85,1680.615,1685.877,1774.624,985.2726,1796.781
"2020-08-20 13:29:53",60,13.32929,28.8894,1550.98,1690.818,1697.396,1784.791,904.7899,1799.808
"2020-08-20 13:29:53.5",61,13.32928,28.88971,1535.298,1672.687,1681.61,1770.179,872.8,1779.466
"2020-08-20 13:29:54",62,13.32935,28.89008,1389.287,1639.865,1642.854,1732.313,968.7479,1749.578
"2020-08-20 13:29:54.5",63,13.32935,28.89044,1359.632,1638.525,1647.83,1732.816,967.2842,1753.945
"2020-08-20 13:29:55",64,13.32925,28.89063,1313.195,1619.852,1625.414,1712.78,957.8215,1728.079
"2020-08-20 13:29:55.5",65,13.3294,28.89084,1286.622,1589.59,1543.54,1682.656,949.4365,1713.821
"2020-08-20 13:29:56",66,13.32936,28.89133,1258.399,1563.455,1491.104,1199.184,991.0002,1693.013
"2020-08-20 13:29:56.5",67,13.32921,28.89154,1254.474,1551.047,1542.887,1091.529,1018.118,1680.175
"2020-08-20 13:29:57",68,13.32934,28.89154,1253.416,1523.026,1517.611,897.5134,720.2563,1630.778
"2020-08-20 13:29:57.5",69,13.32931,28.89194,1189.423,1465.893,1465.192,1001.625,646.1174,1567.402
"2020-08-20 13:29:58",70,13.32931,28.89218,1138.592,1394.031,1388.413,770.9941,628.0138,1494.389
"2020-08-20 13:29:58.5",71,13.32946,28.89258,1091.245,1312.115,1305.704,983.394,564.9107,1401.143
"2020-08-20 13:29:59",72,13.3293,28.89291,997.4543,1219.275,1207.221,385.076,710.2758,1314.968
"2020-08-20 13:29:59.5",73,13.32934,28.89328,948.1981,1140.067,1137.76,394.8821,666.5013,1241.993
"2020-08-20 13:30:00",74,13.3293,28.89337,854.8195,1080.504,1068.467,524.8773,382.6566,1196.541
"2020-08-20 13:30:00.5",75,13.32938,28.89371,803.7225,1022.13,987.7902,1091.061,672.2599,1141.099
"2020-08-20 13:30:01",76,13.32925,28.89389,760.9017,986.4657,1004.353,1055.778,652.7655,1099.072
"2020-08-20 13:30:01.5",77,13.3293,28.89426,726.1816,945.3522,961.2634,1012.028,633.8424,1060.288
"2020-08-20 13:30:02",78,13.3292,28.89453,691.9554,907.1415,925.5992,977.2797,618.9406,1032.191
"2020-08-20 13:30:02.5",79,13.3292,28.89481,673.725,889.3541,912.264,966.8464,617.8238,1032.524
"2020-08-20 13:30:03",80,13.32918,28.89517,684.8862,902.7108,928.716,986.2784,627.7371,1055.801
"2020-08-20 13:30:03.5",81,13.32917,28.89536,706.8917,921.8931,947.4515,1002.139,633.1644,1065.888
"2020-08-20 13:30:04",82,13.32917,28.89551,705.8177,913.0181,935.3531,988.0558,625.6207,1046.864
"2020-08-20 13:30:04.5",83,13.32914,28.8959,688.4679,891.9379,911.4367,964.1864,614.8349,1024.097
"2020-08-20 13:30:05",84,13.32923,28.8963,588.1198,859.0361,878.475,928.1315,598.0624,985.5948
"2020-08-20 13:30:05.5",85,13.32914,28.89648,618.4727,812.1732,832.5174,879.795,574.3937,935.8416
"2020-08-20 13:30:06",86,13.32917,28.89691,572.0966,764.9605,788.8123,835.603,555.9673,899.0155
"2020-08-20 13:30:06.5",87,13.32926,28.89716,491.0086,751.7151,779.7977,832.9724,557.6334,906.5685
"2020-08-20 13:30:07",88,13.32912,28.89752,581.1617,790.3669,824.5784,881.8571,581.3051,959.7169
"2020-08-20 13:30:07.5",89,13.32921,28.89761,628.1116,857.0735,894.9028,951.8187,614.136,1029.082
"2020-08-20 13:30:08",90,13.3293,28.89795,695.1138,940.4948,980.9294,1046.799,660.4723,1129.213
"2020-08-20 13:30:08.5",91,13.32918,28.89844,789.2018,1062.379,1107.205,1185.303,725.4496,1270.659
"2020-08-20 13:30:09",92,13.3291,28.89853,931.0758,1220.082,1260.532,1347.514,801.6907,1429.066
"2020-08-20 13:30:09.5",93,13.32913,28.8989,1048.298,1378.722,1417.032,1512.512,875.0845,1578.243
"2020-08-20 13:30:10",94,13.32931,28.8992,1186.155,1520.012,1547.938,1644.143,934.2498,1702.351
"2020-08-20 13:30:10.5",95,13.32917,28.89944,1279.945,1619.703,1644.94,1740.483,975.5956,1784.668
"2020-08-20 13:30:11",96,13.32916,28.89978,1340.889,1692.934,1709.619,1804.783,1003.964,1840.161
"2020-08-20 13:30:11.5",97,13.32918,28.90018,1383.922,1734.199,1749.528,1845.703,1020.734,1873.629
"2020-08-20 13:30:12",98,13.32909,28.90048,1411.283,1757.626,1771.626,1864.664,1028.778,1888.553
"2020-08-20 13:30:12.5",99,13.32921,28.9007,1418.84,1765.383,1775.84,1870.706,1030.3,1893.781
"2020-08-20 13:30:13",100,13.3291,28.90103,1422.639,1768.004,1778.61,1871.735,1030.868,1892.289
"2020-08-20 13:30:13.5",101,13.3291,28.90128,1424.08,1768.432,1780.798,1876.58,1032.048,1894.257
"2020-08-20 13:30:14",102,13.32917,28.90173,1428.06,1768.289,1782.097,1877.41,1032.806,1900.238
"2020-08-20 13:30:14.5",103,13.32928,28.90207,1428.443,1770.985,1783.59,1879.885,1034.243,1898.3
