date,first_row,range,lai
6/8/2018,13,137,5.88124
6/8/2018,8,33,5.737252
6/8/2018,15,93,5.833677
6/8/2018,30,117,5.51746
6/8/2018,27,13,5.704762
6/8/2018,4,85,6.324117
6/8/2018,5,141,5.827386
6/8/2018,20,109,5.849732
6/8/2018,21,57,5.749785
6/8/2018,19,13,5.673148
6/8/2018,24,29,5.945649
6/8/2018,20,65,5.814552
6/8/2018,1,113,5.880783
6/8/2018,21,117,5.670057
6/8/2018,27,105,5.754343
6/8/2018,30,57,5.909462
6/8/2018,1,9,5.471865
6/8/2018,13,37,5.499613
6/8/2018,18,73,6.049891
6/8/2018,21,77,5.823888
6/8/2018,29,45,6.013989
6/8/2018,4,49,6.107987
6/8/2018,28,57,5.875198
6/8/2018,27,125,5.60859
6/8/2018,26,69,5.198786
6/8/2018,3,1,5.475546
6/8/2018,21,93,5.836183
6/8/2018,7,49,5.698645
6/8/2018,14,33,5.962448
6/8/2018,5,53,5.435315
6/8/2018,11,125,5.616562
6/8/2018,6,29,5.722204
6/8/2018,29,13,5.834895
6/8/2018,10,25,6.112384
6/8/2018,7,0,5.305353
6/8/2018,13,125,5.846879
6/8/2018,12,29,5.620658
6/8/2018,29,85,5.830766
6/8/2018,24,105,5.680122
6/8/2018,2,89,6.08236
6/8/2018,25,109,5.485081
6/8/2018,30,17,5.871254
6/8/2018,16,25,6.093036
6/8/2018,16,89,5.812027
6/8/2018,22,125,6.107987
6/8/2018,17,77,5.90499
6/8/2018,20,57,5.672865
6/8/2018,30,129,6.217512
6/8/2018,18,0,5.693289
6/8/2018,13,25,6.096695
6/8/2018,10,17,6.12427
6/8/2018,27,117,5.453412
6/8/2018,20,121,5.905416
6/8/2018,5,1,5.508049
6/8/2018,17,1,6.17668
6/8/2018,6,5,5.470082
6/8/2018,5,133,6.02384
6/8/2018,24,129,5.837459
6/8/2018,21,97,5.667012
6/8/2018,10,21,6.074464
6/8/2018,19,97,6.013213
6/8/2018,30,97,5.797436
6/8/2018,9,73,5.466674
6/8/2018,31,93,5.264987
6/8/2018,18,109,5.787826
6/8/2018,24,73,5.604249
6/8/2018,11,81,5.605255
6/8/2018,12,105,5.8346
6/8/2018,17,69,5.803029
6/8/2018,25,141,6.091762
6/8/2018,16,141,6.088309
6/8/2018,31,133,5.768172
6/8/2018,10,5,6.079585
6/8/2018,16,45,5.591735
6/8/2018,1,101,5.927664
6/8/2018,9,133,5.971628
6/8/2018,30,21,5.889842
6/8/2018,29,117,5.440902
6/8/2018,19,81,6.096658
6/8/2018,6,69,5.400944
6/8/2018,19,113,5.966954
6/8/2018,18,57,5.751744
6/8/2018,19,49,5.878074
