date,first_row,range,height
6/8/2018,109,20,63.0685
6/8/2018,57,21,61.660665
6/8/2018,13,19,63.597712
6/8/2018,29,24,64.221599
6/8/2018,65,20,62.874951
6/8/2018,113,1,62.094866
6/8/2018,117,21,62.607986
6/8/2018,105,27,62.305383
6/8/2018,57,30,62.917259
6/8/2018,9,1,64.47468
6/8/2018,37,13,63.848806
6/8/2018,73,18,62.513064
6/8/2018,77,21,63.382816
6/8/2018,45,29,64.844318
6/8/2018,49,4,62.779877
6/8/2018,57,28,61.82806
6/8/2018,125,27,62.203009
6/8/2018,69,26,64.711115
6/8/2018,1,3,62.305224
6/8/2018,93,21,63.195571
6/8/2018,49,7,63.693158
6/8/2018,33,14,63.001847
6/8/2018,53,5,65.710963
6/8/2018,125,11,64.110886
6/8/2018,29,6,64.376558
6/8/2018,13,29,63.347997
6/8/2018,25,10,62.154741
6/8/2018,0,7,64.332881
6/8/2018,125,13,62.888082
6/8/2018,29,12,64.989784
6/8/2018,85,29,64.580293
6/8/2018,105,24,62.980458
6/8/2018,89,2,62.512166
6/8/2018,109,25,63.036578
6/8/2018,17,30,66.067424
6/8/2018,25,16,61.9837
6/8/2018,89,16,63.046054
6/8/2018,125,22,61.676009
6/8/2018,77,17,65.090389
6/8/2018,57,20,64.730722
6/8/2018,129,30,62.533069
6/8/2018,0,18,62.291752
6/8/2018,25,13,61.711589
6/8/2018,17,10,63.772673
6/8/2018,117,27,62.848
6/8/2018,121,20,62.869085
6/8/2018,1,5,64.70659
6/8/2018,1,17,62.027564
6/8/2018,5,6,64.573257
6/8/2018,133,5,62.744107
6/8/2018,129,24,63.011036
6/8/2018,97,21,62.93979
6/8/2018,21,10,64.170478
6/8/2018,97,19,62.055737
6/8/2018,97,30,63.939108
6/8/2018,73,9,63.971674
6/8/2018,93,31,67.54577
6/8/2018,109,18,62.571313
6/8/2018,73,24,65.387855
6/8/2018,81,11,63.441604
6/8/2018,105,12,62.591857
6/8/2018,69,17,64.28982
6/8/2018,141,25,63.722214
6/8/2018,141,16,62.242641
6/8/2018,133,31,63.231766
6/8/2018,5,10,62.28873
6/8/2018,45,16,65.183006
6/8/2018,101,1,63.361753
6/8/2018,133,9,62.270805
6/8/2018,21,30,62.918481
6/8/2018,117,29,63.489801
6/8/2018,81,19,64.541217
6/8/2018,69,6,65.491878
6/8/2018,113,19,61.376335
6/8/2018,57,18,61.859542
6/8/2018,49,19,63.768051
6/8/2018,61,3,65.64087
6/8/2018,57,10,62.579217
6/8/2018,17,2,65.043462
6/8/2018,81,20,66.057323
6/8/2018,17,18,66.050744
6/8/2018,141,27,62.277147
6/8/2018,129,7,62.695667
6/8/2018,129,10,61.727849
6/8/2018,117,11,62.279704
6/8/2018,129,31,62.685142
6/8/2018,33,28,66.601898
6/8/2018,77,25,64.314354
6/8/2018,77,18,65.80558
6/8/2018,29,16,64.861698
6/8/2018,5,19,64.561283
6/8/2018,97,13,64.50037
6/8/2018,57,7,61.140762
6/8/2018,41,12,63.181302
6/8/2018,129,4,62.183321
6/8/2018,53,20,63.960005
6/8/2018,97,26,63.700626
6/8/2018,9,21,62.562144
6/8/2018,41,1,62.995175
6/8/2018,0,13,61.829082
6/8/2018,9,23,62.95611
6/8/2018,9,16,64.066605
6/8/2018,105,16,62.155438
6/8/2018,77,3,65.804491
6/8/2018,133,21,62.559022
6/8/2018,61,18,65.281596
6/8/2018,33,7,63.880343
6/8/2018,53,18,62.750372
6/8/2018,105,1,63.069637
6/8/2018,29,17,65.82637
6/8/2018,29,3,63.58076
6/8/2018,9,13,62.194203
6/8/2018,105,14,62.266796
6/8/2018,105,26,62.173344
6/8/2018,109,27,61.583625
6/8/2018,49,13,63.85711
6/8/2018,69,23,64.081043
6/8/2018,9,11,62.944106
6/8/2018,129,6,65.116823
6/8/2018,113,8,62.838101
6/8/2018,121,14,61.805402
6/8/2018,137,23,64.430802
6/8/2018,133,14,63.574185
6/8/2018,21,3,63.251566
6/8/2018,141,22,63.968336
6/8/2018,97,4,64.800966
6/8/2018,85,2,63.396152
6/8/2018,113,10,63.087969
6/8/2018,77,12,63.291472
6/8/2018,129,27,63.043389
6/8/2018,81,29,64.694116
6/8/2018,53,9,62.958027
6/8/2018,41,18,62.011423
6/8/2018,13,1,68.323236
6/8/2018,137,26,65.232431
6/8/2018,1,6,64.72502
6/8/2018,137,30,62.14607
6/8/2018,57,2,62.219213
6/8/2018,49,27,64.142838
6/8/2018,105,17,62.848469
6/8/2018,49,26,62.794448
6/8/2018,117,16,61.249195
6/8/2018,121,6,63.050773
6/8/2018,105,18,65.838261
6/8/2018,0,6,65.768272
6/8/2018,37,30,63.039171
6/8/2018,133,19,64.197962
6/8/2018,5,8,64.249879
6/8/2018,97,22,62.350363
6/8/2018,141,10,65.99644
6/8/2018,89,30,63.254883
6/8/2018,33,26,63.348899
6/8/2018,65,16,61.492833
6/8/2018,113,18,63.496279
6/8/2018,105,15,62.11786
6/8/2018,81,31,61.419186
6/8/2018,89,20,63.412558
6/8/2018,49,2,65.393032
6/8/2018,117,4,64.014814
6/8/2018,117,8,62.24903
6/8/2018,133,23,63.834318
6/8/2018,105,23,62.973052
6/8/2018,21,26,63.228602
6/8/2018,97,3,63.711794
6/8/2018,65,23,64.320697
6/8/2018,53,22,65.348374
6/8/2018,65,1,64.309015
6/8/2018,69,16,63.183795
6/8/2018,113,5,62.480072
6/8/2018,89,25,63.136905
6/8/2018,97,15,63.319026
6/8/2018,53,24,65.110157
6/8/2018,129,18,64.413959
6/8/2018,17,8,63.331288
6/8/2018,141,28,64.014578
6/8/2018,121,8,61.447847
