file_name,lai,height
08_21_2020\4 1.ubh,2.9076,2.5283
08_21_2020\4 2.ubh,5.8486,2.554
08_21_2020\4 3.ubh,5.5416,2.8255
08_21_2020\4 4.ubh,5.8702,2.9242
08_21_2020\4 5.ubh,5.9571,2.9086
08_21_2020\4 6.ubh,5.2276,2.8997
08_21_2020\5 1.ubh,6.1711,2.6066
08_21_2020\5 2.ubh,4.745,2.459
08_21_2020\5 3.ubh,6.5467,2.8258
08_21_2020\5 4.ubh,5.8765,2.8707
08_21_2020\5 5.ubh,7.0539,2.913
08_21_2020\5 6.ubh,5.7833,2.9004
08_21_2020\6 1.ubh,4.1972,2.3575
08_21_2020\6 2.ubh,3.8141,2.151
08_21_2020\6 3.ubh,4.93,2.3058
08_21_2020\6 4.ubh,5.1717,2.6088
08_21_2020\6 5.ubh,6.3009,2.8933
08_21_2020\6 6.ubh,4.9084,2.9134
09_06_2020\1 1.ubh,6.138,2.9888
09_06_2020\1 2.ubh,5.927,3.1894
09_06_2020\1 3.ubh,7.0277,3.2814
09_06_2020\1 4.ubh,5.888,3.2419
09_06_2020\1 5.ubh,5.6253,3.2978
09_06_2020\1 6.ubh,7.7223,3.2434
09_06_2020\2 1.ubh,5.7278,3.0549
09_06_2020\2 2.ubh,7.1645,3.0861
09_06_2020\2 3.ubh,6.1518,3.2946
09_06_2020\2 4.ubh,7.665,3.1632
09_06_2020\2 5.ubh,7.9377,3.3785
09_06_2020\2 6.ubh,6.1919,3.3363
09_06_2020\3 1.ubh,6.8642,3.0105
09_06_2020\3 2.ubh,6.3733,3.0787
09_06_2020\3 3.ubh,6.0887,3.2486
09_06_2020\3 4.ubh,6.3143,3.2479
09_06_2020\3 5.ubh,6.3444,3.2502
09_06_2020\3 6.ubh,6.2177,3.2874
09_06_2020\4 1.ubh,6.9796,2.9643
09_06_2020\4 2.ubh,7.1024,2.922
09_06_2020\4 3.ubh,6.2006,3.1845
09_06_2020\4 4.ubh,6.4477,3.2409
09_06_2020\4 5.ubh,6.3794,3.2125
09_06_2020\4 6.ubh,8.2968,3.1992
09_06_2020\5 1.ubh,6.5759,2.9793
09_06_2020\5 2.ubh,5.9018,2.935
09_06_2020\5 3.ubh,6.1072,3.1765
09_06_2020\5 4.ubh,6.8505,3.1817
09_06_2020\5 5.ubh,7.4032,3.2465
09_06_2020\5 6.ubh,5.7564,3.2248
09_06_2020\6 1.ubh,5.8026,2.8157
09_06_2020\6 2.ubh,4.8371,2.6147
09_06_2020\6 3.ubh,4.65,2.7202
09_06_2020\6 4.ubh,5.7193,2.9506
09_06_2020\6 5.ubh,6.6897,3.1621
09_06_2020\6 6.ubh,6.8297,3.2607
